case	requested	actual_window	content	zoom	status
compact	1024x768	923x721	—	100%	BLOCKED_ENV_SCREEN_CAPTURE
baseline	1366x900	1230x785	—	100%	BLOCKED_ENV_SCREEN_CAPTURE
wide	1600x1000	1362x785	—	100%	BLOCKED_ENV_SCREEN_CAPTURE
zoom-200	1024x768	923x721	—	200%	BLOCKED_ENV_SCREEN_CAPTURE
